"diseaseId","diseaseName","diseaseType","diseaseClass","diseaseSemanticType","autism_subtype_broad","n_genes","is_autism"
"C3808377","CATARACT 16, MULTIPLE TYPES","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1833229","Cataract, Congenital Zonular, with Sutural Opacities","disease","C11","Disease or Syndrome","Not Autism",1,FALSE
"C1854021","Cataract, Central Saccular, With Sutural Opacities","disease","C11","Disease or Syndrome","Not Autism",6,FALSE
"C4011454","CATARACT 42","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3808012","CATARACT 23, MULTIPLE TYPES","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1833118","Cataract, Pulverulent","disease","C11;C16","Disease or Syndrome","Not Autism",9,FALSE
"C1852438","CATARACT, COPPOCK-LIKE","disease","C11","Disease or Syndrome","Not Autism",9,FALSE
"C1969062","Cataract, Congenital Nuclear, Autosomal Recessive 3","disease","C11;C16","Disease or Syndrome","Not Autism",1,FALSE
"C3888124","CATARACT 17, MULTIPLE TYPES","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0344523","Cataract, congenital, cerulean type 1","disease","C11","Congenital Abnormality","Not Autism",4,FALSE
"C1832175","Cataract, Congenital, Cerulean Type, 2","disease","C11","Disease or Syndrome","Not Autism",1,FALSE
"C1857853","Cataract, Congenital Nuclear, Autosomal Recessive 2","disease","C11;C16","Disease or Syndrome","Not Autism",1,FALSE
"C3808800","CATARACT 39, MULTIPLE TYPES","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1392104","Coralliform cataract","disease","","Congenital Abnormality","Not Autism",1,FALSE
"C1837023","CATARACT, CONGENITAL, CERULEAN TYPE, 3","disease","C11","Disease or Syndrome","Not Autism",1,FALSE
"C1861832","CATARACT, CRYSTALLINE ACULEIFORM","phenotype","C11","Finding","Not Autism",1,FALSE
"C3540850","CATARACT 4, MULTIPLE TYPES","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3888390","Cataract, Punctate, Progressive Juvenile-Onset","disease","C11","Disease or Syndrome","Not Autism",1,FALSE
"C3888391","Nonnuclear polymorphic congenital cataract","disease","","Congenital Abnormality","Not Autism",1,FALSE
"C3805410","CATARACT 20, MULTIPLE TYPES","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4084708","DEAFNESS, AUTOSOMAL DOMINANT 40","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0029401","Osteitis Deformans","disease","C05","Disease or Syndrome","Not Autism",9,FALSE
"C0270612","Leukoencephalopathies","group","C10","Disease or Syndrome","Not Autism",7,FALSE
"C1858991","Childhood Ataxia with Central Nervous System Hypomyelinization","disease","C10","Disease or Syndrome","Not Autism",12,FALSE
"C3711381","Hereditary Diffuse Leukoencephalopathy with Spheroids","disease","C10","Disease or Syndrome","Not Autism",2,FALSE
"C0001824","Agranulocytosis","disease","C15","Disease or Syndrome","Not Autism",3,FALSE
"C0002874","Aplastic Anemia","disease","C15","Disease or Syndrome","Not Autism",7,FALSE
"C0015423","Eyelid Diseases","group","C11","Disease or Syndrome","Not Autism",2,FALSE
"C0027947","Neutropenia","disease","C15","Disease or Syndrome","Not Autism",17,FALSE
"C0085090","Lymphoma, AIDS-Related","disease","C04;C15;C20","Neoplastic Process","Not Autism",2,FALSE
"C0178416","Hypoplastic anemia","disease","C15","Disease or Syndrome","Not Autism",7,FALSE
"C0205944","Sarcoma, Epithelioid","disease","C04","Neoplastic Process","Not Autism",13,FALSE
"C0205945","Sarcoma, Spindle Cell","disease","C04","Neoplastic Process","Not Autism",13,FALSE
"C0242594","Residual Cancer","phenotype","C04;C23","Neoplastic Process","Not Autism",2,FALSE
"C0242596","Neoplasm, Residual","phenotype","C04;C23","Neoplastic Process","Not Autism",2,FALSE
"C0333355","Inflammatory disease of mucous membrane","group","C06;C07","Pathologic Function","Not Autism",8,FALSE
"C0543478","Residual Tumor","phenotype","C04;C23","Neoplastic Process","Not Autism",2,FALSE
"C1261473","Sarcoma","group","C04","Neoplastic Process","Not Autism",25,FALSE
"C2931245","Bone Marrow failure syndromes","disease","C15","Disease or Syndrome","Not Autism",4,FALSE
"C3808553","Bone marrow failure syndrome 1","disease","C15","Disease or Syndrome","Not Autism",4,FALSE
"C3810350","Bone marrow failure syndrome 2","disease","C15","Disease or Syndrome","Not Autism",4,FALSE
"C2677877","Surfactant Metabolism Dysfunction, Pulmonary, 4","disease","C08;C16","Disease or Syndrome","Not Autism",1,FALSE
"C2931035","Pulmonary alveolar proteinosis, congenital","disease","C08","Disease or Syndrome","Not Autism",2,FALSE
"C3280574","SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 5","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0003862","Arthralgia","phenotype","C05;C23","Sign or Symptom","Not Autism",2,FALSE
"C0011644","Scleroderma","disease","C17","Disease or Syndrome","Not Autism",3,FALSE
"C0018681","Headache","phenotype","C23","Sign or Symptom","Not Autism",5,FALSE
"C0019156","Hepatic Veno-Occlusive Disease","disease","C06;C14","Disease or Syndrome","Not Autism",2,FALSE
"C0021308","Infarction","phenotype","C23","Pathologic Function","Not Autism",2,FALSE
"C0023269","leiomyosarcoma","disease","C04","Neoplastic Process","Not Autism",5,FALSE
"C0028838","Ocular Headache","phenotype","C23","Sign or Symptom","Not Autism",5,FALSE
"C0030312","Pancytopenia","disease","C15","Disease or Syndrome","Not Autism",6,FALSE
"C0036420","Localized scleroderma","disease","C17","Disease or Syndrome","Not Autism",3,FALSE
"C0038362","Stomatitis","disease","C07","Disease or Syndrome","Not Autism",4,FALSE
"C0079731","B-Cell Lymphomas","group","C04;C15;C20","Neoplastic Process","Not Autism",12,FALSE
"C0085183","Neoplasms, Second Primary","group","C04","Neoplastic Process","Not Autism",6,FALSE
"C0086696","Neoplasms, Therapy-Associated","group","C04","Neoplastic Process","Not Autism",6,FALSE
"C0162296","Polyarthralgia","disease","C05;C23","Disease or Syndrome","Not Autism",2,FALSE
"C0205815","Leiomyosarcoma, Epithelioid","disease","C04","Neoplastic Process","Not Autism",5,FALSE
"C0205816","Leiomyosarcoma, Myxoid","disease","C04","Neoplastic Process","Not Autism",5,FALSE
"C0263409","Linear Scleroderma","disease","C17","Disease or Syndrome","Not Autism",3,FALSE
"C0282609","Bone Marrow Neoplasms","group","C04;C15","Neoplastic Process","Not Autism",1,FALSE
"C0423618","Throbbing Headache","phenotype","C23","Sign or Symptom","Not Autism",5,FALSE
"C0423623","Bilateral Headache","phenotype","C23","Sign or Symptom","Not Autism",5,FALSE
"C0474366","Generalized Headache","phenotype","C23","Sign or Symptom","Not Autism",5,FALSE
"C0751186","Orthostatic Headache","phenotype","C23","Sign or Symptom","Not Autism",5,FALSE
"C0751187","Periorbital Headache","phenotype","C23","Sign or Symptom","Not Autism",5,FALSE
"C0751189","Retro-Ocular Headache","phenotype","C23","Sign or Symptom","Not Autism",5,FALSE
"C0751190","Sharp Headache","phenotype","C23","Sign or Symptom","Not Autism",5,FALSE
"C0751192","Vertex Headache","phenotype","C23","Sign or Symptom","Not Autism",5,FALSE
"C0752255","Impairment, Light Touch Sensation","phenotype","C10;C23","Sign or Symptom","Not Autism",2,FALSE
"C0752256","Pain Sensation Diminished","phenotype","C10;C23","Sign or Symptom","Not Autism",2,FALSE
"C0752257","Pinprick Sensation Diminished","phenotype","C10;C23","Sign or Symptom","Not Autism",2,FALSE
"C0752258","Position Sense Disorders","disease","C10;C23","Disease or Syndrome","Not Autism",2,FALSE
"C0752260","Proprioceptive Disorders","group","C10;C23","Sign or Symptom","Not Autism",2,FALSE
"C0752261","Thermal Sensation Disorders","disease","C10;C23","Disease or Syndrome","Not Autism",2,FALSE
"C0752262","Somatosensory Disorders","group","C10;C23","Disease or Syndrome","Not Autism",2,FALSE
"C0877578","Treatment related secondary malignancy","phenotype","C04","Neoplastic Process","Not Autism",6,FALSE
"C0877781","Hemicrania","phenotype","C23","Sign or Symptom","Not Autism",5,FALSE
"C1527383","Morphea","disease","C17","Disease or Syndrome","Not Autism",3,FALSE
"C1568868","Oral Mucositis","disease","C07","Disease or Syndrome","Not Autism",4,FALSE
"C0023481","Chronic Neutrophilic Leukemia","disease","C15","Neoplastic Process","Not Autism",1,FALSE
"C0543669","Neutrophilia, Hereditary","disease","C15","Disease or Syndrome","Not Autism",1,FALSE
"C1292772","Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative","disease","C04;C15","Neoplastic Process","Not Autism",3,FALSE
"C4310764","NEUTROPENIA, SEVERE CONGENITAL, 7, AUTOSOMAL RECESSIVE","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0206085","Kleine-Levin Syndrome","disease","C10;F03","Disease or Syndrome","Not Autism",10,FALSE
"C1858496","Advanced Sleep-Phase Syndrome, Familial","disease","C10;C24;F03","Disease or Syndrome","Not Autism",3,FALSE
"C3808874","ADVANCED SLEEP PHASE SYNDROME, FAMILIAL, 2","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4310739","OKUR-CHUNG NEURODEVELOPMENTAL SYNDROME","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0746402","manic symptom","phenotype","","Mental or Behavioral Dysfunction","Not Autism",1,FALSE
"C0018621","Hay fever","disease","C08;C09;C20","Disease or Syndrome","Not Autism",1,FALSE
"C0268393","Familial Cerebral Amyloid Angiopathy","disease","C10;C14;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1510489","Cerebral Amyloid Angiopathy, Hereditary","disease","C10;C14;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1527338","Hereditary Cerebral Amyloid Angiopathy, Icelandic Type","disease","C10;C14;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1956349","Cerebral Amyloid Angiopathy, Genetic","disease","C10;C14;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C2677774","Age-Related Macular Degeneration type 11","disease","C11","Disease or Syndrome","Not Autism",1,FALSE
"C1838440","ICHTHYOSIS EXFOLIATIVA","disease","C16;C17","Disease or Syndrome","Not Autism",3,FALSE
"C1842797","Exfoliative Ichthyosis, Autosomal Recessive, Ichthyosis Bullosa of Siemens-like","disease","C16;C17","Disease or Syndrome","Not Autism",1,FALSE
"C1853354","Peeling skin syndrome, acral type","disease","C17","Disease or Syndrome","Not Autism",2,FALSE
"C0010308","Congenital Hypothyroidism","disease","C05;C16;C19","Disease or Syndrome","Not Autism",26,FALSE
"C0013069","Double Outlet Right Ventricle","disease","C14;C16","Congenital Abnormality","Not Autism",8,FALSE
"C0018818","Ventricular Septal Defects","group","C14;C16","Congenital Abnormality","Not Autism",6,FALSE
"C0027126","Myotonic Dystrophy","disease","C05;C10;C16","Disease or Syndrome","Not Autism",3,FALSE
"C0041207","Truncus Arteriosus, Persistent","disease","C14;C16","Congenital Abnormality","Not Autism",9,FALSE
"C0149630","Bicuspid aortic valve","disease","C14","Congenital Abnormality","Not Autism",4,FALSE
"C0152101","Hypoplastic Left Heart Syndrome","disease","C14;C16","Disease or Syndrome","Not Autism",5,FALSE
"C0152419","Interrupted aortic arch","disease","","Congenital Abnormality","Not Autism",7,FALSE
"C0266283","Ectopic thyroid tissue (disorder)","phenotype","C16;C19","Finding","Not Autism",2,FALSE
"C0410226","Congenital Myotonic Dystrophy","disease","C05;C10;C16","Disease or Syndrome","Not Autism",3,FALSE
"C0685889","Splenic Hypoplasia","disease","C20","Congenital Abnormality","Not Autism",2,FALSE
"C0749420","Thyroid Agenesis","disease","C16;C19","Congenital Abnormality","Not Autism",26,FALSE
"C1260873","Aortic valve disorder","group","","Disease or Syndrome","Not Autism",4,FALSE
"C1843687","ATRIAL FIBRILLATION, FAMILIAL, 1 (disorder)","disease","C14;C23","Disease or Syndrome","Not Autism",21,FALSE
"C1857586","CONOTRUNCAL HEART MALFORMATIONS (disorder)","disease","C14;C16","Disease or Syndrome","Not Autism",7,FALSE
"C1879286","Hereditary bundle branch system defect","disease","C14;C23","Disease or Syndrome","Not Autism",4,FALSE
"C2673630","HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 5 (disorder)","disease","C05;C16;C19","Disease or Syndrome","Not Autism",1,FALSE
"C2931574","Chromosome 5, monosomy 5q35","disease","C10;C16;C23","Cell or Molecular Dysfunction","Not Autism",2,FALSE
"C2931689","Dystrophia myotonica 2","disease","C05;C10;C16","Disease or Syndrome","Not Autism",3,FALSE
"C3276096","ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3280785","VENTRICULAR SEPTAL DEFECT 3","disease","","Congenital Abnormality; Disease or Syndrome","Not Autism",1,FALSE
"C3280795","HYPOPLASTIC LEFT HEART SYNDROME 2","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3502353","Atrial Septal Defect with Atrioventricular Conduction Defects","disease","C14;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C3887892","Aortic Valve Disease 1","disease","C14;C16","Disease or Syndrome","Not Autism",4,FALSE
"C0796117","Pitt-Rogers-Danks Syndrome","disease","C16","Disease or Syndrome","Not Autism",8,FALSE
"C1956097","Wolf-Hirschhorn Syndrome","disease","C16","Disease or Syndrome","Not Autism",9,FALSE
"C0524909","Hepatitis B, Chronic","disease","C02;C06","Disease or Syndrome","Not Autism",8,FALSE
"C0035320","Retinal Neovascularization","phenotype","C11;C23","Pathologic Function","Not Autism",1,FALSE
"C0220993","Cystathioninuria","phenotype","","Disease or Syndrome","Not Autism",1,FALSE
"C0268616","Gamma-cystathionase deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C3495552","Cystathionase Deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0002171","Alopecia Areata","disease","C17","Disease or Syndrome","Not Autism",10,FALSE
"C0018133","Graft-vs-Host Disease","disease","C20","Disease or Syndrome","Not Autism",6,FALSE
"C0018213","Graves Disease","disease","C11;C19;C20","Disease or Syndrome","Not Autism",9,FALSE
"C1832392","DIABETES MELLITUS, INSULIN-DEPENDENT, 12","disease","C18;C19;C20","Disease or Syndrome","Not Autism",1,FALSE
"C3495801","Granulomatosis with polyangiitis","disease","C08;C14;C20","Disease or Syndrome","Not Autism",5,FALSE
"C4015214","CTLA4 Haploinsufficiency","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1837029","Macular Dystrophy, Butterfly-Shaped Pigmentary, 2","disease","C11","Disease or Syndrome","Not Autism",3,FALSE
"C1868569","Patterned dystrophy of retinal pigment epithelium","disease","C11","Disease or Syndrome","Not Autism",3,FALSE
"C4511237","Butterfly-shaped pigmentary macular dystrophy","disease","","Disease or Syndrome","Not Autism",3,FALSE
"C0268626","Juvenile nephropathic cystinosis (disorder)","disease","C12;C13;C16;C18","Congenital Abnormality; Disease or Syndrome","Not Autism",1,FALSE
"C2749685","CYSTINOSIS, ATYPICAL NEPHROPATHIC (disorder)","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C2931013","Cystinosis, benign, nonnephropathic","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C2931187","Nephropathic cystinosis","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C3537440","Cystinosis, Infantile Nephropathic","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C4316899","Cystinosis","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0206711","Pilomatrixoma","disease","C04","Neoplastic Process","Not Autism",4,FALSE
"C0279606","Childhood Hepatocellular Carcinoma","disease","","Neoplastic Process","Not Autism",2,FALSE
"C0339539","Familial Exudative Vitreoretinopathy","disease","C11","Congenital Abnormality","Not Autism",6,FALSE
"C0342649","Vascular calcification","phenotype","C18","Pathologic Function","Not Autism",2,FALSE
"C1851402","Exudative vitreoretinopathy 1","disease","C05;C11;C18","Disease or Syndrome","Not Autism",6,FALSE
"C3554449","MENTAL RETARDATION, AUTOSOMAL DOMINANT 19","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4539767","EXUDATIVE VITREORETINOPATHY 7","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0010314","Cri-du-Chat Syndrome","disease","C10;C16","Disease or Syndrome","Not Autism",3,FALSE
"C2931860","Monosomy 5p","disease","C10;C16","Cell or Molecular Dysfunction","Not Autism",2,FALSE
"C4014617","IMMUNODEFICIENCY 24","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0406756","Keratolytic winter erythema","disease","C16;C17;C23","Congenital Abnormality; Disease or Syndrome","Not Autism",1,FALSE
"C1864669","NEURONAL CEROID LIPOFUSCINOSIS DUE TO CATHEPSIN D DEFICIENCY","disease","C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1864670","Neuronal Ceroid Lipofuscinosis, Congenital","disease","C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0238402","Pycnodysostosis","disease","C05;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C3151079","MACULAR DEGENERATION, AGE-RELATED, 12","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0268285","Adrenal hyperplasia, congenital, type 5","disease","C12;C13;C16;C18;C19","Disease or Syndrome","Not Autism",2,FALSE
"C0272087","Congenital Methemoglobinemia","disease","C15","Disease or Syndrome","Not Autism",2,FALSE
"C2673427","METHEMOGLOBINEMIA TYPE IV","disease","C15","Disease or Syndrome","Not Autism",1,FALSE
"C0018203","Chronic granulomatous disease","group","C15;C16;C20","Disease or Syndrome","Not Autism",6,FALSE
"C1844376","Granulomatous Disease, Chronic, X-Linked","disease","C15;C16;C20","Disease or Syndrome","Not Autism",3,FALSE
"C1856255","Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Negative","disease","C15;C16;C20","Disease or Syndrome","Not Autism",1,FALSE
"C3661525","Autosomal Recessive Chronic Granulomatous Disease","disease","C15;C16;C20","Disease or Syndrome","Not Autism",3,FALSE
"C0393953","Anterior Cerebral Circulation Infarction","disease","C10;C14","Disease or Syndrome","Not Autism",5,FALSE
"C0751952","Anterior Circulation Brain Infarction","disease","C10;C14","Disease or Syndrome","Not Autism",5,FALSE
"C0751953","Brain Infarction, Posterior Circulation","disease","C10;C14","Disease or Syndrome","Not Autism",5,FALSE
"C0751954","Venous Infarction, Brain","disease","C10;C14","Disease or Syndrome","Not Autism",5,FALSE
"C0751955","Brain Infarction","disease","C10;C14","Disease or Syndrome","Not Autism",5,FALSE
"C1970859","Atypical Mycobacteriosis, Familial, X-Linked 2","disease","C01;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1852372","MITOCHONDRIAL COMPLEX III DEFICIENCY (disorder)","disease","C18","Disease or Syndrome","Not Autism",8,FALSE
"C3809553","MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 6","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0023860","Listeriosis","disease","C01","Disease or Syndrome","Not Autism",2,FALSE
"C1275122","Familial multiple trichoepitheliomata","disease","C04;C16;C17","Neoplastic Process","Not Autism",1,FALSE
"C1305968","Eccrine dermal cylindroma","disease","C04;C16;C17","Neoplastic Process","Not Autism",1,FALSE
"C1851526","Ancell-Spiegler cylindromas","phenotype","","Pathologic Function","Not Autism",1,FALSE
"C1857941","Brooke-Spiegler syndrome","disease","C04;C16;C17","Disease or Syndrome","Not Autism",1,FALSE
"C3887461","Head and Neck Carcinoma","disease","","Neoplastic Process","Not Autism",10,FALSE
"C0003860","Arteritis","phenotype","C14","Pathologic Function","Not Autism",3,FALSE
"C0018552","Hamartoma","group","C04","Neoplastic Process","Not Autism",2,FALSE
"C0039239","Sinus Tachycardia","disease","C14;C23","Disease or Syndrome","Not Autism",2,FALSE
"C0085096","Peripheral Vascular Diseases","group","C14","Disease or Syndrome","Not Autism",2,FALSE
"C0025637","Methemoglobinemia","disease","C15","Disease or Syndrome","Not Autism",4,FALSE
"C0020302","Hydrophthalmos","disease","C11;C16","Congenital Abnormality","Not Autism",4,FALSE
"C0344559","Irido-corneo-trabecular dysgenesis (disorder)","disease","C11;C16","Congenital Abnormality","Not Autism",5,FALSE
"C1832977","GLAUCOMA 3, PRIMARY INFANTILE, B","disease","C11","Disease or Syndrome","Not Autism",3,FALSE
"C1842028","GLAUCOMA 1, OPEN ANGLE, A","disease","C11","Disease or Syndrome","Not Autism",2,FALSE
"C1856439","GLAUCOMA 3, PRIMARY CONGENITAL, A","disease","C11","Congenital Abnormality; Disease or Syndrome","Not Autism",2,FALSE
"C1862839","Anterior segment mesenchymal dysgenesis","disease","C11;C16","Disease or Syndrome","Not Autism",5,FALSE
"C2981140","Glaucoma of childhood","disease","","Disease or Syndrome","Not Autism",2,FALSE
"C3278152","GLAUCOMA, PRIMARY OPEN ANGLE, ADULT-ONSET (disorder)","disease","","Disease or Syndrome","Not Autism",3,FALSE
"C3278153","GLAUCOMA, PRIMARY OPEN ANGLE, JUVENILE-ONSET","disease","","Disease or Syndrome","Not Autism",2,FALSE
"C0019163","Hepatitis B","disease","C02;C06","Disease or Syndrome","Not Autism",32,FALSE
"C0023897","Liver Diseases, Parasitic","group","C03;C06","Disease or Syndrome","Not Autism",9,FALSE
"C0027439","Nasopharyngeal Neoplasms","group","C04;C07;C09","Neoplastic Process","Not Autism",9,FALSE
"C0029106","Opisthorchiasis","disease","C03","Disease or Syndrome","Not Autism",1,FALSE
"C0034067","Pulmonary Emphysema","disease","C08","Disease or Syndrome","Not Autism",11,FALSE
"C0206704","Carcinoma, Large Cell","disease","C04","Neoplastic Process","Not Autism",2,FALSE
"C0221227","Centriacinar Emphysema","disease","C08","Disease or Syndrome","Not Autism",11,FALSE
"C0238301","Cancer of Nasopharynx","disease","C04;C07;C09","Neoplastic Process","Not Autism",9,FALSE
"C0264393","Panacinar Emphysema","disease","C08","Disease or Syndrome","Not Autism",11,FALSE
"C0277004","Opisthorchis felineus Infection","disease","C03","Disease or Syndrome","Not Autism",1,FALSE
"C0277005","Opisthorchis viverrini Infection","disease","C03","Disease or Syndrome","Not Autism",1,FALSE
"C0750384","Coumarin Resistance","phenotype","C16;C18","Disease or Syndrome","Not Autism",4,FALSE
"C2350878","Focal Emphysema","disease","C08","Disease or Syndrome","Not Autism",11,FALSE
"C0206726","gliosarcoma","disease","C04","Neoplastic Process","Not Autism",16,FALSE
"C3281153","EFAVIRENZ, POOR METABOLISM OF","phenotype","","Finding","Not Autism",1,FALSE
"C3281154","EFAVIRENZ CENTRAL NERVOUS SYSTEM TOXICITY, SUSCEPTIBILITY TO","phenotype","","Finding","Not Autism",1,FALSE
"C0085215","Ovarian Failure, Premature","disease","C13;C19","Disease or Syndrome","Not Autism",6,FALSE
"C0086367","Gonadotropin-Resistant Ovary Syndrome","disease","C13;C19","Disease or Syndrome","Not Autism",6,FALSE
"C1836023","Drug Metabolism, Poor, CYP2C19-Related","phenotype","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C3494522","Hypergonadotropic Ovarian Failure, X-Linked","disease","C10;C13;C16;C19","Disease or Syndrome","Not Autism",6,FALSE
"C2608079","WARFARIN SENSITIVITY (disorder)","phenotype","C16;C18","Disease or Syndrome","Not Autism",3,FALSE
"C0004782","Basal Ganglia Diseases","group","C10","Disease or Syndrome","Not Autism",12,FALSE
"C0015371","Extrapyramidal Disorders","group","C10","Disease or Syndrome","Not Autism",12,FALSE
"C0016722","Frigidity","phenotype","F03","Mental or Behavioral Dysfunction","Not Autism",6,FALSE
"C0020594","Hypoactive Sexual Desire Disorder","phenotype","F03","Mental or Behavioral Dysfunction","Not Autism",6,FALSE
"C0026837","Muscle Rigidity","phenotype","C05;C10;C23","Sign or Symptom","Not Autism",5,FALSE
"C0029261","Orgasmic Disorder","phenotype","F03","Mental or Behavioral Dysfunction","Not Autism",6,FALSE
"C0033953","Psychosexual Disorders","group","F03","Mental or Behavioral Dysfunction","Not Autism",6,FALSE
"C0036902","Sexual Arousal Disorder","disease","F03","Mental or Behavioral Dysfunction","Not Autism",6,FALSE
"C0151564","Cogwheel Rigidity","phenotype","C05;C10;C23","Sign or Symptom","Not Autism",5,FALSE
"C0231519","Gegenhalten","phenotype","C05;C10;C23","Finding","Not Autism",5,FALSE
"C0233608","Catatonic Rigidity","phenotype","C05;C10;C23","Sign or Symptom","Not Autism",5,FALSE
"C0239325","Extensor Rigidity","phenotype","C05;C10;C23","Sign or Symptom","Not Autism",5,FALSE
"C0277821","Extrapyramidal Rigidity","phenotype","C05;C10;C23","Sign or Symptom","Not Autism",5,FALSE
"C0750951","Lenticulostriate Disorders","disease","C10","Disease or Syndrome","Not Autism",12,FALSE
"C1320474","Nuchal Rigidity","phenotype","C05;C10;C23","Finding","Not Autism",5,FALSE
"C1837154","Drug Metabolism, Poor, CYP2D6-Related","phenotype","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0015696","Fatty Liver, Alcoholic","disease","C06;C25","Disease or Syndrome","Not Autism",3,FALSE
"C2718067","Alcoholic Steatohepatitis","disease","C06;C25","Disease or Syndrome","Not Autism",3,FALSE
"C0040479","Torsades de Pointes","disease","C14;C23","Disease or Syndrome","Not Autism",3,FALSE
"C0001623","Adrenal gland hypofunction","phenotype","C19","Disease or Syndrome","Not Autism",2,FALSE
"C0238395","Male Pseudohermaphroditism","disease","C12;C13;C16;C19","Congenital Abnormality","Not Autism",3,FALSE
"C0342474","Lipoid congenital adrenal hyperplasia","disease","C12;C13;C16;C18;C19","Disease or Syndrome","Not Autism",2,FALSE
"C2751824","46, XY Disorders of Sex Development","group","C12;C13;C16;C19","Disease or Syndrome","Not Autism",3,FALSE
"C3151055","ADRENAL INSUFFICIENCY, CONGENITAL, WITH 46,XY SEX REVERSAL, PARTIAL OR COMPLETE","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3489793","46,XY Sex Reversal 3","disease","C12;C13;C16;C19","Congenital Abnormality","Not Autism",3,FALSE
"C3502132","Adrenal Insufficiency, Congenital, With 46,Xy Sex Reversal","disease","C12;C13;C16;C19","Disease or Syndrome","Not Autism",1,FALSE
"C0268292","Congenital adrenal hyperplasia due to 11-Beta-hydroxylase deficiency","disease","C12;C13;C16;C18;C19","Disease or Syndrome","Not Autism",1,FALSE
"C1260386","Glucocorticoid-remediable aldosteronism","disease","C19","Disease or Syndrome","Not Autism",2,FALSE
"C3669121","11-Beta-hydroxylase deficiency","disease","C12;C13;C16;C18;C19","Disease or Syndrome","Not Autism",1,FALSE
"C0020595","Hypoaldosteronism","disease","C19","Disease or Syndrome","Not Autism",1,FALSE
"C0268293","Corticosterone Methyl Oxidase Type I Deficiency","disease","C19","Disease or Syndrome","Not Autism",1,FALSE
"C0376185","Hypoaldosteronism, Hyporeninemic","disease","C19","Disease or Syndrome","Not Autism",1,FALSE
"C3463917","Corticosterone Methyl Oxidase Type II Deficiency","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0020461","Hyperkalemia","phenotype","C18","Finding","Not Autism",2,FALSE
"C0020635","Hypopituitarism","disease","C10;C19","Disease or Syndrome","Not Autism",3,FALSE
"C0028949","Oligomenorrhea","phenotype","C23","Pathologic Function","Not Autism",1,FALSE
"C0242342","Sheehan Syndrome","disease","C10;C19","Disease or Syndrome","Not Autism",3,FALSE
"C3277849","17,20-Lyase Deficiency, Isolated","disease","C12;C13;C16;C18;C19","Disease or Syndrome","Not Autism",1,FALSE
"C0242341","Sexual Infantilism","disease","C12;C13;C16;C19","Disease or Syndrome","Not Autism",1,FALSE
"C0853662","Oestrogen deficiency","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1563718","Genital Infantilism","disease","C12;C13;C16;C19","Disease or Syndrome","Not Autism",1,FALSE
"C1960539","Aromatase deficiency","disease","C12;C13;C16;C17;C18;C19","Disease or Syndrome","Not Autism",1,FALSE
